case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis,t_statistic,p_value
cluster_1,"(10, 50, 2, 0, -2, 0)",436.4,0.481146637,228.3,0.525467717,0.00154209,0.021046248,-0.100329873,0.001090765,0.126219175,0.557262312,6.839638545,-2.381087362,0.033348765
cluster_1,"(10, 50, 2, 0.2, -2, -0.2)",406.3,0.447960309,212.0,0.523982528,0.001479698,0.020994039,-0.096313177,0.000921439,0.11832791,0.487132813,5.86620614,-2.530982315,0.024270826
cluster_1,"(10, 50, 2, 0.3, -2, -0.3)",390.4,0.430429989,203.9,0.525438068,0.001460065,0.020994821,-0.096203561,0.000990443,0.11832791,0.472833868,5.845758739,-2.201044472,0.044794959
cluster_1,"(10, 200, 2, 0, -2, 0)",331.9,0.546787479,175.0,0.529234978,0.001750379,0.023047176,-0.09423473,0.00134913,0.117609476,0.438093677,5.010635804,-2.365667824,0.032868401
cluster_1,"(10, 200, 2, 0.2, -2, -0.2)",314.7,0.5184514,165.9,0.52813331,0.001696419,0.023286932,-0.09423473,0.001287022,0.117609476,0.437159513,4.95484285,-2.201748391,0.041566844
cluster_1,"(10, 200, 2, 0.3, -2, -0.3)",299.0,0.492586491,158.8,0.531936736,0.001691684,0.023219219,-0.09423473,0.001484991,0.114796268,0.364985339,4.715552089,-2.265507449,0.036776205
cluster_1,"(10, 200, 2, 0.4, -2, -0.4)",274.7,0.452553542,145.9,0.532787408,0.001690919,0.023140269,-0.093367649,0.001530363,0.114021876,0.366401444,4.90492588,-2.503966673,0.022567151
cluster_1,"(10, 200, 2, 0.5, -2, -0.5)",264.0,0.434925865,140.4,0.532931625,0.001706506,0.023205159,-0.093367649,0.00148296,0.114021876,0.379301284,5.026801883,-2.526936175,0.021329569
cluster_1,"(20, 150, 2, 0.2, -2, -0.2)",356.7,0.504526167,185.05,0.520010023,0.001427416,0.02233353,-0.09507842,0.000755482,0.126984169,0.660347618,7.071030477,-2.276845033,0.02902476
cluster_1,"(20, 150, 2, 0.4, -2, -0.4)",327.5,0.463224894,170.5,0.522740534,0.001479907,0.02253761,-0.093445879,0.000839606,0.126296873,0.70830503,7.083738028,-2.128474343,0.040178093
cluster_1,"(20, 200, 2, 0, -2, 0)",342.6,0.564415157,177.45,0.520259655,0.001531139,0.022835461,-0.089136092,0.000928135,0.123616457,0.5898772,5.302027855,-2.314837381,0.027726822
cluster_1,"(20, 200, 2, 0.1, -2, -0.1)",325.85,0.536820428,169.7,0.522103497,0.001658386,0.023041569,-0.089136092,0.000982864,0.123616457,0.597828737,5.275940217,-2.605393951,0.013597781
cluster_1,"(20, 200, 2, 0.2, -2, -0.2)",312.75,0.51523888,163.95,0.525284021,0.001788308,0.023025582,-0.089136092,0.001130347,0.120151691,0.59565846,5.225937116,-2.541280817,0.01545566
cluster_1,"(20, 200, 2, 0.3, -2, -0.3)",300.5,0.495057661,158.05,0.527162096,0.001765701,0.02306405,-0.089136092,0.001226469,0.118745087,0.563385144,5.062944848,-2.435085846,0.019984153
cluster_1,"(20, 200, 2, 0.4, -2, -0.4)",283.5,0.467051071,149.25,0.528227528,0.001748185,0.023038015,-0.088702551,0.001270594,0.118357891,0.571254573,5.159782718,-2.445050245,0.019395799
cluster_1,"(20, 200, 2, 0.5, -2, -0.5)",271.3,0.446952224,142.85,0.528681163,0.00183117,0.023276007,-0.088702551,0.001272857,0.118357891,0.577591013,5.145947454,-2.423299338,0.020922989
cluster_1,"(30, 150, 2, 0, -2, 0)",389.9,0.551485149,200.1333333,0.513831431,0.001140109,0.021673212,-0.096877699,0.000555864,0.124894029,0.612026837,7.288632003,-2.063090864,0.04414474
cluster_1,"(30, 150, 2, 0.1, -2, -0.1)",367.1333333,0.519283357,189.0666667,0.515478426,0.001291512,0.021773804,-0.094376681,0.000575543,0.124150307,0.648403798,7.132612511,-2.531920159,0.014224596
cluster_1,"(30, 150, 2, 0.2, -2, -0.2)",346.8,0.490523338,178.7666667,0.516344469,0.001436456,0.021746091,-0.090669133,0.000616196,0.124150307,0.76810612,7.236863341,-3.284257301,0.001822507
cluster_1,"(30, 150, 2, 0.3, -2, -0.3)",333.4333333,0.471617162,172.5333333,0.518775027,0.001486083,0.021847425,-0.089151069,0.00070768,0.123692109,0.776529109,7.154990409,-3.319425449,0.00160679
cluster_1,"(30, 150, 2, 0.4, -2, -0.4)",319.7333333,0.45223951,165.9333333,0.520574034,0.001557189,0.02192117,-0.088609207,0.00073422,0.123692109,0.810519492,7.256375411,-3.566408619,0.000763914
cluster_1,"(30, 150, 2, 0.5, -2, -0.5)",302.7333333,0.428194248,157.1666667,0.520486838,0.001540698,0.021940372,-0.087061904,0.000744598,0.12199175,0.787775552,6.978575231,-3.371165694,0.001408809
cluster_1,"(30, 200, 2, 0, -2, 0)",331.2,0.545634267,169.8,0.514105211,0.001466893,0.022323357,-0.085830727,0.000669224,0.122514993,0.705333951,6.153077991,-2.64756236,0.010747453
cluster_1,"(30, 200, 2, 0.1, -2, -0.1)",315.8333333,0.520318506,162.5,0.515373626,0.001544296,0.022477942,-0.085830727,0.000693136,0.122514993,0.703909373,6.165946064,-2.903028814,0.005336345
cluster_1,"(30, 200, 2, 0.2, -2, -0.2)",303.0,0.499176277,156.5666667,0.517366327,0.001651881,0.022499392,-0.085711687,0.000818272,0.120205149,0.71323618,6.139655222,-2.991333852,0.004110501
cluster_1,"(30, 200, 2, 0.3, -2, -0.3)",292.0333333,0.481109281,151.2666667,0.518612942,0.001632161,0.0224971,-0.085711687,0.000868043,0.118250127,0.670015436,5.935881649,-2.702720614,0.009083604
cluster_1,"(30, 200, 2, 0.4, -2, -0.4)",275.9666667,0.454640308,143.0,0.519369652,0.001675622,0.022465176,-0.083423908,0.000888489,0.117991997,0.719075796,5.860031096,-3.097884903,0.003022264
cluster_1,"(30, 200, 2, 0.5, -2, -0.5)",265.6333333,0.437616694,137.4,0.518621104,0.001723417,0.022649336,-0.083423908,0.000864653,0.117991997,0.727556283,5.842283697,-3.043515002,0.00361784
cluster_1,"(40, 150, 2, 0, -2, 0)",385.925,0.545862801,198.2,0.514428163,0.001115204,0.021797239,-0.098027104,0.000566975,0.128021349,0.624010721,7.470054868,-2.902055596,0.004936433
cluster_1,"(40, 150, 2, 0.1, -2, -0.1)",363.8,0.5145686,187.4,0.515715185,0.001231334,0.021941239,-0.096151341,0.000593595,0.127463557,0.647652312,7.342868402,-3.293211986,0.00151688
cluster_1,"(40, 150, 2, 0.2, -2, -0.2)",340.225,0.481223479,175.65,0.517125826,0.001374625,0.022033073,-0.093094476,0.000680117,0.127463557,0.726003992,7.362975925,-4.041931789,0.000134379
cluster_1,"(40, 150, 2, 0.3, -2, -0.3)",326.9,0.462376238,169.375,0.519341248,0.001437155,0.022165344,-0.091955928,0.000747306,0.127119909,0.733638515,7.324138808,-4.179409107,8.13e-05
cluster_1,"(40, 150, 2, 0.4, -2, -0.4)",315.2,0.44582744,163.55,0.520208133,0.001479937,0.022227011,-0.091549532,0.000767395,0.127119909,0.757121647,7.404332468,-4.468113471,2.87e-05
cluster_1,"(40, 150, 2, 0.5, -2, -0.5)",298.55,0.422277228,154.925,0.519973739,0.001452187,0.02227463,-0.090389055,0.000765785,0.12584464,0.739664526,7.232979734,-4.198790308,7.75e-05
cluster_1,"(40, 200, 2, 0, -2, 0)",332.075,0.547075783,169.875,0.513437117,0.00144261,0.022367611,-0.085413336,0.00065338,0.126237072,0.771218988,6.283265688,-3.106790165,0.002772131
cluster_1,"(40, 200, 2, 0.1, -2, -0.1)",318.0,0.523887974,163.35,0.515483942,0.001507875,0.02250508,-0.085413336,0.000682001,0.126237072,0.769519358,6.279074017,-3.359815166,0.001265827
cluster_1,"(40, 200, 2, 0.2, -2, -0.2)",306.0,0.504118616,157.575,0.516591162,0.001578521,0.022563955,-0.085324056,0.000765476,0.124504689,0.778163515,6.251208133,-3.317233344,0.001416851
cluster_1,"(40, 200, 2, 0.3, -2, -0.3)",293.225,0.483072488,151.45,0.518140138,0.001577277,0.022653855,-0.085324056,0.000832347,0.123038423,0.741145888,6.077575518,-3.208090723,0.00198642
cluster_1,"(40, 200, 2, 0.4, -2, -0.4)",278.6,0.458978583,144.0,0.518900422,0.001628214,0.022690164,-0.083608221,0.000867049,0.122844825,0.77970497,5.994067574,-3.710206131,0.000397057
cluster_1,"(40, 200, 2, 0.5, -2, -0.5)",265.25,0.436985173,137.075,0.518526307,0.001710927,0.022927336,-0.083204165,0.000825245,0.122844825,0.79038506,5.937232091,-3.987789384,0.000158859
cluster_1,"(50, 150, 2, 0, -2, 0)",379.32,0.536520509,195.2,0.515680607,0.001059872,0.021797153,-0.096644027,0.000586937,0.128449331,0.615115038,7.467413648,-3.062102196,0.002879269
cluster_1,"(50, 150, 2, 0.1, -2, -0.1)",358.68,0.507326733,185.02,0.516560335,0.001163559,0.021926291,-0.095143416,0.00061608,0.128003097,0.633706884,7.388742244,-3.418482355,0.000927438
cluster_1,"(50, 150, 2, 0.2, -2, -0.2)",337.98,0.478048091,174.58,0.517391468,0.001278733,0.022011982,-0.092697924,0.00067525,0.128003097,0.700513298,7.421052633,-3.992227285,0.000131454
cluster_1,"(50, 150, 2, 0.3, -2, -0.3)",324.58,0.459094767,168.26,0.519502163,0.001343171,0.022143171,-0.091787086,0.000744357,0.127728179,0.713994199,7.420637669,-4.319864154,3.87e-05
cluster_1,"(50, 150, 2, 0.4, -2, -0.4)",311.54,0.440650636,161.66,0.520202164,0.001376442,0.02217445,-0.091384933,0.000754434,0.12554853,0.698993376,7.219174435,-4.496602961,1.96e-05
cluster_1,"(50, 150, 2, 0.5, -2, -0.5)",293.48,0.415106082,152.64,0.521202018,0.001374892,0.022288932,-0.090456551,0.000800777,0.124528314,0.692686788,7.078954572,-4.482028733,2.09e-05
cluster_1,"(50, 200, 2, 0, -2, 0)",322.74,0.53169687,165.42,0.515028614,0.001368543,0.022638153,-0.086899029,0.000666345,0.127559452,0.763740705,6.408272957,-2.997294034,0.003563029
cluster_1,"(50, 200, 2, 0.1, -2, -0.1)",310.86,0.512125206,159.88,0.516592869,0.001420911,0.022739073,-0.086899029,0.000688401,0.127559452,0.767537261,6.431285506,-3.273680041,0.00150831
cluster_1,"(50, 200, 2, 0.2, -2, -0.2)",299.18,0.492883031,154.22,0.51734491,0.001468595,0.022778589,-0.086827605,0.000760369,0.126173546,0.775371614,6.465136968,-3.158306828,0.002140839
cluster_1,"(50, 200, 2, 0.3, -2, -0.3)",287.62,0.47383855,148.56,0.518449427,0.001454597,0.022838228,-0.086827605,0.000813891,0.125000533,0.739178785,6.346419574,-3.055582112,0.002945747
