case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis,t_statistic,p_value
cluster_5,"(10, 50, 2, 0, -2, 0)",421.3,0.464498346,219.7,0.521515357,0.001265046,0.020559636,-0.088248012,0.000785724,0.150779676,1.253971422,12.95520802,-2.371497312,0.030093766
cluster_5,"(10, 50, 2, 0.2, -2, -0.2)",387.7,0.427453142,202.1,0.521619756,0.001267572,0.020502937,-0.087636329,0.000882059,0.148745944,1.21652704,12.84151325,-2.275540738,0.037595095
cluster_5,"(10, 50, 2, 0.3, -2, -0.3)",367.4,0.405071665,191.7,0.522365576,0.001347433,0.020649504,-0.087636329,0.00087949,0.148745944,1.217852674,12.75057923,-2.399832992,0.028236656
cluster_5,"(10, 50, 2, 0.4, -2, -0.4)",346.6,0.38213892,181.2,0.523620189,0.001428366,0.020974207,-0.087636329,0.000906047,0.148745944,1.218565448,12.50337993,-2.266659775,0.036985868
cluster_5,"(10, 50, 2, 0.5, -2, -0.5)",318.3,0.350937155,167.3,0.526526429,0.001474163,0.021095897,-0.087636329,0.001014312,0.148745944,1.238811809,12.99442444,-2.686975929,0.016902292
cluster_5,"(30, 50, 2, 0.3, -2, -0.3)",366.7666667,0.404373392,194.0,0.529477151,0.001582383,0.021560722,-0.107644523,0.001067987,0.143656638,0.778694341,12.70166992,-2.296503266,0.025359497
cluster_5,"(30, 50, 2, 0.4, -2, -0.4)",345.9666667,0.381440647,183.6,0.531514309,0.001660502,0.021787522,-0.107644523,0.001092107,0.143656638,0.799516533,12.6203282,-2.557863156,0.013289974
cluster_5,"(30, 50, 2, 0.5, -2, -0.5)",324.3,0.35755237,173.0333333,0.53396521,0.001670252,0.021851751,-0.107644523,0.001144951,0.139713102,0.743950967,12.58225734,-2.46433202,0.016752039
cluster_5,"(40, 150, 2, 0.4, -2, -0.4)",310.725,0.439497878,160.7,0.519337937,0.001070884,0.02172134,-0.104376634,0.00065257,0.12214008,0.689068836,10.9741004,-2.6082506,0.010970957
cluster_5,"(40, 150, 2, 0.5, -2, -0.5)",298.225,0.421817539,154.15,0.51969524,0.001099165,0.021827991,-0.104376634,0.000686707,0.120551998,0.67151792,10.90179392,-2.439904564,0.017278894
cluster_5,"(50, 150, 2, 0, -2, 0)",376.52,0.532560113,193.06,0.514110936,0.00094275,0.022145155,-0.113220315,0.000452295,0.132242595,0.634182894,10.70010487,-2.472575075,0.015180318
cluster_5,"(50, 150, 2, 0.1, -2, -0.1)",359.34,0.508260255,184.26,0.51454475,0.000955821,0.022242136,-0.112507784,0.000450145,0.132242595,0.675210324,11.0085116,-2.11716769,0.036851732
cluster_5,"(50, 150, 2, 0.3, -2, -0.3)",335.96,0.475190948,171.98,0.513924832,0.000908635,0.022211492,-0.110118332,0.00045063,0.129296998,0.677127689,11.19273183,-2.033666325,0.044709715
cluster_5,"(50, 150, 2, 0.4, -2, -0.4)",313.6,0.443564356,161.62,0.517310345,0.001061966,0.02226553,-0.106634475,0.000576591,0.127638742,0.713239471,10.91992647,-2.908337342,0.00450471
cluster_5,"(50, 150, 2, 0.5, -2, -0.5)",300.08,0.424441301,154.56,0.517515595,0.001092139,0.022445205,-0.106634475,0.000601556,0.126368276,0.700099933,10.81441197,-2.824403036,0.005821325
