case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis,t_statistic,p_value
cluster_4,"(10, 50, 2, 0.2, -2, -0.2)",373.6,0.411907387,202.4,0.542996301,0.001737635,0.021432531,-0.120450043,0.001548696,0.123291108,0.230469726,8.78260368,-2.533578186,0.026521868
cluster_4,"(10, 50, 2, 0.3, -2, -0.3)",347.8,0.383461963,189.3,0.546801653,0.001963941,0.021400948,-0.114699569,0.001632559,0.118277265,0.258757167,8.579795877,-2.433925172,0.032353371
cluster_4,"(10, 50, 2, 0.4, -2, -0.4)",328.0,0.361631753,177.8,0.544491016,0.001997213,0.021421145,-0.107436052,0.001539021,0.118277265,0.415998762,8.039300622,-2.4194662,0.032609718
cluster_4,"(10, 50, 2, 0.5, -2, -0.5)",312.7,0.344762955,168.9,0.543129796,0.002041836,0.021663185,-0.107436052,0.001428252,0.118277265,0.432920146,8.078350671,-2.612140752,0.024387095
cluster_4,"(20, 150, 2, 0, -2, 0)",346.85,0.490594059,182.05,0.52877791,0.001783221,0.023246345,-0.094019478,0.001169908,0.130040419,0.567326449,6.767604971,-2.987067093,0.005577893
cluster_4,"(20, 150, 2, 0.1, -2, -0.1)",337.55,0.477439887,177.6,0.530696943,0.001828455,0.023151799,-0.093667057,0.001239135,0.130040419,0.582382101,6.85618891,-3.018233141,0.005046854
cluster_4,"(20, 150, 2, 0.2, -2, -0.2)",320.15,0.452828854,168.8,0.531902521,0.001886728,0.022872941,-0.092422711,0.001225383,0.124241623,0.550777022,6.268262833,-3.532147508,0.001246364
cluster_4,"(20, 150, 2, 0.3, -2, -0.3)",308.55,0.436421499,162.8,0.531707841,0.001913715,0.0228972,-0.092422711,0.001223271,0.124241623,0.552853869,6.271144985,-3.255905073,0.002499354
cluster_4,"(20, 150, 2, 0.4, -2, -0.4)",296.2,0.418953324,156.05,0.530785904,0.001943058,0.022938169,-0.092418305,0.001127559,0.124241623,0.570526567,6.418103528,-3.314955109,0.002143563
cluster_4,"(20, 150, 2, 0.5, -2, -0.5)",283.1,0.400424328,149.4,0.531391395,0.001969648,0.022935039,-0.092418305,0.00120789,0.120936979,0.510040775,5.911643474,-3.394459355,0.001713011
cluster_4,"(20, 200, 2, 0, -2, 0)",332.8,0.548270181,174.05,0.528520412,0.001551652,0.023182859,-0.086598738,0.001185236,0.119456131,0.431747098,4.893053233,-2.106205132,0.044574561
cluster_4,"(20, 200, 2, 0.1, -2, -0.1)",316.5,0.521416804,165.8,0.528229618,0.001572487,0.023376102,-0.086598738,0.001198897,0.119456131,0.430753863,4.889789787,-2.111962097,0.042879103
cluster_4,"(20, 200, 2, 0.2, -2, -0.2)",294.65,0.485420099,155.45,0.532162526,0.001735087,0.023426003,-0.086246317,0.001362672,0.119456131,0.448937168,4.956806022,-2.331610912,0.025471711
cluster_4,"(20, 200, 2, 0.3, -2, -0.3)",281.45,0.463673806,148.9,0.533728169,0.001844857,0.023431129,-0.086173738,0.001342172,0.118574698,0.465373446,4.983581269,-2.541458249,0.015688502
cluster_4,"(20, 200, 2, 0.4, -2, -0.4)",262.05,0.431713344,138.85,0.533946406,0.001985492,0.023505946,-0.085128967,0.001327417,0.117946078,0.516315036,5.026921704,-2.862668023,0.007127646
