case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis,t_statistic,p_value
cluster_2,"(50, 150, 2, 0, -2, 0)",374.46,0.529646393,192.32,0.515648935,0.001014868,0.020947679,-0.091845198,0.000577681,0.115987957,0.507231465,7.241501059,-2.689775887,0.008520879
cluster_2,"(50, 150, 2, 0.1, -2, -0.1)",363.92,0.514738331,186.76,0.515266362,0.000980057,0.020857699,-0.090671169,0.000557009,0.112747656,0.475828534,7.022351937,-2.155685012,0.03371151
cluster_2,"(50, 150, 2, 0.2, -2, -0.2)",346.32,0.489844413,178.06,0.516308815,0.000988299,0.020797587,-0.089878701,0.000618712,0.11220143,0.510997257,7.448890383,-2.260655084,0.026141899
cluster_2,"(50, 150, 2, 0.3, -2, -0.3)",332.36,0.47009901,170.96,0.516921308,0.000999756,0.020859194,-0.088475264,0.000614646,0.11220143,0.544131035,7.757852384,-2.36572705,0.020072174
cluster_2,"(50, 150, 2, 0.4, -2, -0.4)",313.32,0.443168317,160.96,0.51669502,0.001029973,0.020879029,-0.08826146,0.000595819,0.112121463,0.549230537,7.817540521,-2.46315225,0.015642621
cluster_2,"(50, 150, 2, 0.5, -2, -0.5)",300.92,0.42562942,154.7,0.517292247,0.00105132,0.020912214,-0.087623471,0.000604254,0.112121463,0.562110382,7.992202903,-2.562306522,0.012067021
cluster_2,"(60, 150, 2, 0, -2, 0)",366.0833333,0.517798208,188.3833333,0.51716481,0.001102527,0.021496622,-0.094916325,0.000649536,0.117589929,0.472879658,7.066241198,-3.196139696,0.001818161
cluster_2,"(60, 150, 2, 0.1, -2, -0.1)",354.15,0.500919378,182.25,0.51711698,0.001071216,0.021479524,-0.093937967,0.000669006,0.114889678,0.444287564,6.893372359,-2.458479693,0.015429251
cluster_2,"(60, 150, 2, 0.2, -2, -0.2)",337.5666667,0.477463461,173.9166667,0.517694316,0.001069893,0.0214526,-0.093277578,0.000698687,0.11443449,0.475119156,7.237661265,-2.50450218,0.013647354
cluster_2,"(60, 150, 2, 0.3, -2, -0.3)",323.25,0.457213579,166.5833333,0.518348326,0.001072663,0.021534923,-0.092108047,0.000686306,0.11443449,0.503336055,7.515702563,-2.507454786,0.013527848
cluster_2,"(60, 150, 2, 0.4, -2, -0.4)",305.55,0.432178218,157.3,0.518064029,0.001098133,0.021562299,-0.091929876,0.00066743,0.114367851,0.512597898,7.589175841,-2.566754685,0.011530911
cluster_2,"(60, 150, 2, 0.5, -2, -0.5)",293.4666667,0.415087223,151.0666667,0.518093244,0.001107146,0.021652506,-0.091398219,0.000647746,0.114367851,0.523130295,7.696843959,-2.481969247,0.014493084
cluster_2,"(70, 150, 2, 0, -2, 0)",364.8142857,0.516003233,188.0428571,0.51748052,0.001157502,0.022003342,-0.100927833,0.000679593,0.122388201,0.442368539,7.153447579,-4.088686285,7.77e-05
cluster_2,"(70, 150, 2, 0.1, -2, -0.1)",353.0714286,0.499393817,182.0714286,0.517545684,0.001128076,0.02198854,-0.10008924,0.000695221,0.1200737,0.415551719,7.029193989,-3.422647008,0.000827383
cluster_2,"(70, 150, 2, 0.2, -2, -0.2)",337.9142857,0.477955142,174.2857143,0.517587659,0.001117923,0.021985789,-0.099523192,0.000708059,0.119683539,0.443185393,7.321185301,-3.395768823,0.000907547
cluster_2,"(70, 150, 2, 0.3, -2, -0.3)",323.4857143,0.457546979,166.8142857,0.517859306,0.001115759,0.022043854,-0.098506888,0.000691631,0.119683539,0.465748204,7.599047834,-3.377386069,0.00095844
cluster_2,"(70, 150, 2, 0.4, -2, -0.4)",306.8142857,0.433966458,158.0428571,0.517496537,0.001124502,0.02207999,-0.09835417,0.000673169,0.119626419,0.475869481,7.664936451,-3.355488513,0.001032593
cluster_2,"(70, 150, 2, 0.5, -2, -0.5)",294.0571429,0.415922409,151.4428571,0.517451584,0.001126438,0.022193615,-0.097898464,0.00064369,0.119626419,0.484299293,7.752157148,-3.227985667,0.001569734
cluster_2,"(70, 200, 2, 0, -2, 0)",307.0285714,0.505813133,158.5857143,0.518240581,0.001233299,0.022468545,-0.098085643,0.000695884,0.115727411,0.345638188,5.506293283,-2.518875463,0.013183861
cluster_2,"(70, 200, 2, 0.1, -2, -0.1)",294.6428571,0.485408331,152.0571429,0.518010596,0.001239572,0.022519259,-0.097919613,0.000711001,0.11388184,0.330011705,5.393431044,-2.382074854,0.018904779
cluster_2,"(70, 200, 2, 0.2, -2, -0.2)",283.4285714,0.466933396,146.1571429,0.517621873,0.001179516,0.022446156,-0.095507693,0.000700672,0.112023221,0.333195076,5.269169451,-2.075004745,0.040120294
cluster_2,"(70, 200, 2, 0.3, -2, -0.3)",271.6,0.447446458,140.2857143,0.518807445,0.001262405,0.022490231,-0.095171003,0.000740932,0.110857463,0.338170868,5.255239902,-2.327591029,0.021729773
cluster_2,"(70, 200, 2, 0.4, -2, -0.4)",260.7285714,0.429536361,134.6714286,0.519636109,0.001286628,0.022526611,-0.093939322,0.000748485,0.108250173,0.304091131,5.035652075,-2.333172368,0.021561232
cluster_2,"(70, 200, 2, 0.5, -2, -0.5)",249.9,0.41169687,128.9857143,0.519342058,0.001267103,0.022582456,-0.093826336,0.000732357,0.108180126,0.299514316,5.082309218,-2.275648157,0.024920567
cluster_2,"(80, 150, 2, 0, -2, 0)",364.675,0.515806223,187.5375,0.516002656,0.001103149,0.022398108,-0.102000198,0.000645926,0.124835409,0.438025732,7.07862568,-3.719017178,0.000284198
cluster_2,"(80, 150, 2, 0.1, -2, -0.1)",352.975,0.499257426,181.625,0.516151111,0.001080295,0.022391931,-0.101259938,0.000660991,0.122810221,0.419557991,6.97804715,-3.069455793,0.002535322
cluster_2,"(80, 150, 2, 0.2, -2, -0.2)",338.1625,0.478306223,173.9625,0.516006031,0.001072478,0.022397393,-0.100429801,0.000666372,0.12246883,0.448671838,7.253540976,-3.060708468,0.002607723
cluster_2,"(80, 150, 2, 0.3, -2, -0.3)",323.45,0.457496464,166.4,0.516518587,0.001069827,0.022441292,-0.099540535,0.000674253,0.121810889,0.457025468,7.454768119,-3.125211,0.002119484
cluster_2,"(80, 150, 2, 0.4, -2, -0.4)",308.375,0.436173975,158.4125,0.516015415,0.001073411,0.022468934,-0.099406907,0.000651571,0.121760909,0.467819879,7.519596534,-2.879648049,0.004541649
cluster_2,"(80, 150, 2, 0.5, -2, -0.5)",295.6875,0.41822843,151.8375,0.515930356,0.001066077,0.022578148,-0.0989329,0.000617159,0.121760909,0.479129238,7.617246009,-2.725685671,0.007152631
cluster_2,"(80, 200, 2, 0, -2, 0)",309.15,0.509308072,159.3625,0.516915968,0.001195187,0.022908503,-0.09962022,0.000681535,0.119057378,0.370293326,5.526471107,-2.326624296,0.021479938
cluster_2,"(80, 200, 2, 0.1, -2, -0.1)",296.25,0.488056013,152.6375,0.5167752,0.001214843,0.02298282,-0.098981296,0.000693586,0.117442503,0.363533271,5.404966433,-2.279543279,0.024215386
cluster_2,"(80, 200, 2, 0.3, -2, -0.3)",271.55,0.447364086,140.075,0.517693063,0.001242126,0.022956547,-0.096000749,0.000714172,0.114746014,0.375295071,5.294634239,-2.075760087,0.039794091
cluster_2,"(80, 200, 2, 0.4, -2, -0.4)",259.8375,0.428068369,134.1375,0.518798046,0.001281971,0.023020775,-0.094713081,0.000732029,0.112464635,0.347353057,5.101969451,-2.23916686,0.026875448
cluster_2,"(80, 200, 2, 0.5, -2, -0.5)",249.7375,0.41142916,128.85,0.518577327,0.001264016,0.023070529,-0.094279374,0.000719624,0.112403344,0.350909019,5.150769319,-2.145437878,0.033805167
