case,hyperparameters,num_trading_days,pct_trading_days,num_positive_returns,pct_positive_returns,mean,std,min,median,max,skew,kurtosis
baseline,"(10, 200, 2, 0.4, -2, -0.4)",324.7,0.534925865,167,0.514835844,0.000759602,0.019822896,-0.100484006,0.00041682,0.095305561,0.091930939,5.757745669
baseline,"(10, 200, 2, 0.5, -2, -0.5)",309.4,0.509719934,159.3,0.515116742,0.000801823,0.019866676,-0.100121809,0.000486243,0.095305561,0.0934517,5.92562408
baseline,"(20, 50, 2, 0, -2, 0)",427.35,0.471168688,223.2,0.524694264,0.001014595,0.019185048,-0.093341673,0.000815557,0.102825881,0.256544149,6.508602215
baseline,"(20, 50, 2, 0.1, -2, -0.1)",412.95,0.455292172,216.5,0.526680898,0.001035111,0.019182845,-0.093341673,0.000830363,0.098880249,0.19137653,5.999646999
baseline,"(20, 50, 2, 0.2, -2, -0.2)",394.95,0.435446527,206.6,0.525586324,0.001011266,0.019343655,-0.093341673,0.00083229,0.098880249,0.190764868,5.977290367
baseline,"(20, 50, 2, 0.3, -2, -0.3)",374,0.412348401,195.55,0.525559797,0.001052111,0.019324765,-0.092693628,0.000843935,0.098880249,0.175337911,6.013002165
baseline,"(20, 50, 2, 0.4, -2, -0.4)",353.55,0.389801544,185.25,0.526395066,0.001107574,0.019310367,-0.093569804,0.000882435,0.09807191,0.16513624,6.319825342
baseline,"(20, 50, 2, 0.5, -2, -0.5)",335.5,0.369900772,176.4,0.528487873,0.001108288,0.019336091,-0.093569804,0.000933964,0.098033742,0.146819521,6.377883568
baseline,"(20, 150, 2, 0, -2, 0)",385.1,0.544695898,199.9,0.519675254,0.000771029,0.019315313,-0.094074186,0.000704635,0.100860756,0.233186062,6.450046923
baseline,"(20, 150, 2, 0.1, -2, -0.1)",369.65,0.522842999,191.75,0.519629444,0.000773723,0.019449499,-0.094074186,0.00065117,0.100860756,0.217699242,6.376224646
baseline,"(20, 150, 2, 0.2, -2, -0.2)",357.8,0.506082037,185.25,0.518325439,0.000748228,0.019479606,-0.093479307,0.000655387,0.099366898,0.190169757,6.181296747
baseline,"(20, 150, 2, 0.3, -2, -0.3)",342.7,0.484724187,177.55,0.519306145,0.000776263,0.019528632,-0.093479307,0.000718832,0.09850975,0.18673857,6.227741135
baseline,"(20, 150, 2, 0.4, -2, -0.4)",330.45,0.467397454,170.9,0.518819376,0.00074923,0.019521971,-0.093479307,0.000649837,0.097273193,0.170307141,6.238262415
baseline,"(20, 150, 2, 0.5, -2, -0.5)",312.25,0.44165488,161.45,0.518703115,0.000760772,0.019606509,-0.093479307,0.000731537,0.095813485,0.145434091,6.297471511
baseline,"(20, 200, 2, 0, -2, 0)",364.45,0.600411862,188.5,0.518194488,0.000848473,0.019346654,-0.091867832,0.000690074,0.096770888,0.230087705,6.025999294
baseline,"(20, 200, 2, 0.1, -2, -0.1)",352.95,0.581466227,182.65,0.518659063,0.000860459,0.019470875,-0.091602481,0.000710754,0.096696878,0.218591703,6.014619143
baseline,"(20, 200, 2, 0.2, -2, -0.2)",337.8,0.556507414,175.2,0.520279904,0.00093147,0.019455395,-0.088148023,0.000738282,0.095701885,0.261851599,6.012089398
baseline,"(20, 200, 2, 0.3, -2, -0.3)",323.2,0.532454695,168.05,0.521922475,0.000971636,0.019346487,-0.087400458,0.000754501,0.095701885,0.290495306,6.20470325
baseline,"(20, 200, 2, 0.4, -2, -0.4)",311.45,0.513097199,161.7,0.521449682,0.000953135,0.019474628,-0.087400458,0.000731082,0.095701885,0.287511726,6.221207181
baseline,"(20, 200, 2, 0.5, -2, -0.5)",295.25,0.486408567,153.45,0.52130924,0.000983303,0.019540128,-0.08721936,0.000769787,0.095701885,0.295629027,6.364555755
baseline,"(30, 50, 2, 0, -2, 0)",435.2,0.479823594,226.9,0.522974572,0.000998316,0.02009106,-0.097899746,0.000822817,0.117348674,0.450238505,8.560154406
baseline,"(30, 50, 2, 0.1, -2, -0.1)",419.8333333,0.462881294,219.2,0.523731152,0.00099148,0.020125268,-0.097899746,0.000782417,0.114716044,0.402876733,8.163777339
baseline,"(30, 50, 2, 0.2, -2, -0.2)",401.3333333,0.442484381,209.5666667,0.523855696,0.001000254,0.020293529,-0.097899746,0.000832528,0.114716044,0.396998492,8.137197929
baseline,"(30, 50, 2, 0.3, -2, -0.3)",382.7,0.421940463,199.3333333,0.522766886,0.000997146,0.020317287,-0.097467717,0.000772745,0.114716044,0.389781072,8.174647157
baseline,"(30, 50, 2, 0.4, -2, -0.4)",362.0333333,0.399154723,188.8,0.523248914,0.001015288,0.020261185,-0.098051834,0.000800307,0.110770485,0.332822049,7.906823602
baseline,"(30, 50, 2, 0.5, -2, -0.5)",343.7666667,0.379015068,179.7666667,0.524938163,0.001035536,0.020270122,-0.098051834,0.000852675,0.105614354,0.262483788,7.640581952
baseline,"(30, 150, 2, 0, -2, 0)",377.1333333,0.533427628,196.2333333,0.52106576,0.000702472,0.01954224,-0.095465096,0.000725412,0.100217971,0.119717282,7.136032013
baseline,"(30, 150, 2, 0.1, -2, -0.1)",361.5,0.511315417,188.3333333,0.522413327,0.000746991,0.019604012,-0.094611744,0.0007436,0.100217971,0.133311173,7.173924178
baseline,"(30, 150, 2, 0.2, -2, -0.2)",345.7333333,0.489014616,179.7,0.520859393,0.000716949,0.019637087,-0.093891311,0.000738357,0.097800675,0.101498396,7.015602529
baseline,"(30, 150, 2, 0.3, -2, -0.3)",330.1333333,0.466949552,171.6,0.521065315,0.000689278,0.01958452,-0.093740335,0.000766507,0.095680951,0.094805658,7.248037649
baseline,"(30, 150, 2, 0.4, -2, -0.4)",318.7666667,0.45087223,165.5666667,0.520895797,0.000675336,0.019604709,-0.093707546,0.000743121,0.09485658,0.093489686,7.285623228
baseline,"(30, 150, 2, 0.5, -2, -0.5)",300.8666667,0.425553984,156.5,0.521478958,0.000682606,0.019731978,-0.093707546,0.000814298,0.093883441,0.062497233,7.225830487
baseline,"(30, 200, 2, 0, -2, 0)",347.9,0.573146623,179.6333333,0.517473949,0.000849556,0.020275858,-0.094135446,0.000630367,0.109836046,0.367613638,8.690872087
baseline,"(30, 200, 2, 0.1, -2, -0.1)",339.1333333,0.558704009,175.0333333,0.517323423,0.000830985,0.020337664,-0.093958545,0.000626533,0.109786707,0.365965429,8.794970308
baseline,"(30, 200, 2, 0.2, -2, -0.2)",325.3666667,0.536024163,168.4333333,0.519454267,0.000861392,0.02007796,-0.091655573,0.000663158,0.100576393,0.226962454,6.921708614
baseline,"(30, 200, 2, 0.3, -2, -0.3)",309.2,0.509390445,160.6,0.521035651,0.00093456,0.019880974,-0.086051005,0.00075907,0.099638657,0.369294114,6.114292039
baseline,"(30, 200, 2, 0.4, -2, -0.4)",296.9666667,0.489236683,153.8333333,0.519883315,0.000879956,0.0199211,-0.086051005,0.000721233,0.09938272,0.368704207,6.204365198
baseline,"(30, 200, 2, 0.5, -2, -0.5)",283.3666667,0.466831411,147,0.519973329,0.000907774,0.019945138,-0.085930273,0.000747977,0.09938272,0.398904937,6.544873813
baseline,"(40, 50, 2, 0, -2, 0)",436.425,0.481174201,226.9,0.521221229,0.001043492,0.019722103,-0.090665823,0.000745326,0.117295905,0.565289485,8.161817172
baseline,"(40, 50, 2, 0.1, -2, -0.1)",421.8,0.465049614,219.5,0.521690472,0.001032535,0.019756494,-0.090665823,0.000706437,0.115321432,0.535249776,7.91024305
baseline,"(40, 50, 2, 0.2, -2, -0.2)",403.85,0.445259096,210.15,0.52175952,0.001032887,0.019900975,-0.090104023,0.000753352,0.115321432,0.542225593,7.924554724
baseline,"(40, 50, 2, 0.3, -2, -0.3)",385.15,0.424641676,200.15,0.521289807,0.001039933,0.019936315,-0.089780001,0.000724304,0.114997192,0.537565683,7.978750158
baseline,"(40, 50, 2, 0.4, -2, -0.4)",366.225,0.403776185,190.5,0.521740876,0.001054187,0.019918877,-0.090218089,0.00074021,0.112038022,0.502705039,7.802267308
baseline,"(40, 50, 2, 0.5, -2, -0.5)",346.025,0.381504961,180.625,0.523895993,0.001094883,0.019918838,-0.089917802,0.000829426,0.107411471,0.446163227,7.542060529
baseline,"(40, 150, 2, 0, -2, 0)",388.2,0.549080622,200.275,0.516905498,0.000604623,0.019109674,-0.092855266,0.000563952,0.099958774,0.190450604,6.913935128
baseline,"(40, 150, 2, 0.1, -2, -0.1)",372.425,0.526768034,192.45,0.518231874,0.000645581,0.019192368,-0.092215252,0.000594679,0.099958774,0.199309869,6.945208441
