selected_stock,leg_stock,pvalue
GOOG,JCI,1.26e-05
GOOGL,JCI,2.4e-05
INTC,JCI,3.81e-05
GOOG,JKHY,0.002212165
GOOGL,ICE,0.002449732
GOOGL,JKHY,0.002630377
LIN,QCOM,0.002760253
LIN,PXD,0.003217916
GOOGL,MAS,0.003228794
GOOG,MAS,0.003551806
GOOG,K,0.003563365
GOOGL,K,0.004478691
GOOG,PEP,0.004766959
GOOG,NEE,0.004939211
LIN,VTR,0.00569541
GOOGL,PEP,0.005829339
GOOGL,NVR,0.006093659
GOOGL,NEE,0.006430201
LIN,MTCH,0.006921328
LIN,TER,0.006978531
LIN,PODD,0.007121552
GOOGL,PAYX,0.007145487
GOOG,NVR,0.007478507
GOOG,PGR,0.007628175
GOOGL,PGR,0.008065431
GOOG,TSN,0.008380017
LIN,WY,0.008570234
GOOGL,TSN,0.00865129
BG,ZION,0.009028612
BG,KEY,0.009412862
GOOG,PAYX,0.009505476
GOOGL,NWL,0.009863255
GOOGL,HRL,0.010129303
GOOGL,TFC,0.010382471
INTC,WRB,0.010578735
LIN,RTX,0.011629764
GOOG,ICE,0.011677325
GOOGL,XRAY,0.012589399
LIN,PARA,0.013215328
CSCO,VMC,0.013295553
INTC,KLAC,0.013348603
GOOG,XRAY,0.013771954
GOOG,TFC,0.01417894
LIN,PEAK,0.014658583
INTC,LH,0.014729412
GOOG,IPG,0.014909979
GOOGL,LHX,0.014973792
GOOG,MDLZ,0.015194804
GOOG,LHX,0.015361661
GOOG,JNJ,0.01537165
INTC,MAR,0.015384263
GOOGL,IPG,0.015441281
GOOGL,MDLZ,0.015545802
GOOG,POOL,0.015827911
LIN,WTW,0.015913548
GOOG,HRL,0.016051626
GOOG,KLAC,0.016246814
INTC,TFC,0.017331212
BG,RF,0.017429579
GOOGL,TFX,0.017462534
GOOGL,VMC,0.017760754
GOOGL,MHK,0.017914874
GOOGL,MLM,0.017977135
GOOG,SPGI,0.018376466
GOOGL,POOL,0.018427849
GOOGL,SPGI,0.018849201
GOOG,NWL,0.019236718
GOOG,VMC,0.020197817
GOOG,MHK,0.020201665
GOOGL,KLAC,0.020320262
GOOG,TFX,0.020405246
INTC,LNT,0.020636226
GOOG,NI,0.020752164
BG,LVS,0.020894507
GOOG,MLM,0.021327185
GOOG,RE,0.021635471
LIN,MSI,0.02258702
INTC,TDG,0.022741852
GOOGL,NI,0.023036274
GOOGL,RE,0.023358035
BG,HIG,0.024085622
GOOG,MSI,0.024511041
GOOG,GOOGL,0.0245368
INTC,PEP,0.024856623
GOOG,ITW,0.024942712
GOOG,HON,0.026031285
BG,TXT,0.027220363
GOOG,IEX,0.02737157
INTC,UDR,0.027694868
LIN,PCAR,0.027874082
GOOGL,PEG,0.029332626
GOOGL,STZ,0.029503773
LIN,OKE,0.029592887
GOOGL,ITW,0.029597924
INTC,PCG,0.029658081
GOOG,TMO,0.029956195
GOOGL,MSI,0.030211025
GOOG,SNPS,0.031549016
CSCO,PEG,0.031820547
GOOGL,SNPS,0.031862037
LIN,VZ,0.032065867
INTC,SPGI,0.03215717
INTC,MSFT,0.032911587
INTC,PNC,0.033307237
GOOG,STZ,0.034630087
GOOG,OMC,0.034909507
INTC,UNH,0.034996458
INTC,PTC,0.035262563
GOOGL,TMO,0.035739084
CSCO,NTRS,0.035856127
GOOGL,JNJ,0.035856443
GOOG,SYY,0.036120458
GOOG,LNT,0.036308822
GOOGL,TXN,0.036373181
BG,MGM,0.037302413
GOOGL,HON,0.037455439
CSCO,HBAN,0.037753994
GOOGL,IEX,0.038160103
INTC,MRK,0.038518087
INTC,XEL,0.039678036
GOOG,UPS,0.03983396
GOOG,PKI,0.04007511
CSCO,MLM,0.040465372
INTC,MO,0.040483552
GOOG,VRSN,0.040577473
GOOG,MTB,0.041002033
GOOG,HSIC,0.041170879
BG,MET,0.041173124
INTC,K,0.041296124
GOOGL,SYY,0.042113238
LIN,TROW,0.043356092
GOOG,PEG,0.043874986
GOOGL,JPM,0.043991749
LIN,PNR,0.044365379
BG,HBAN,0.045232882
GOOG,JPM,0.045319117
INTC,MNST,0.045368694
GOOGL,PKI,0.045718121
GOOGL,VRSN,0.046206937
LIN,PH,0.046252907
GOOG,LH,0.046393457
GOOG,WHR,0.046456815
BG,GRMN,0.046718178
LIN,ROK,0.04699897
GOOGL,OMC,0.047659237
GOOGL,MMM,0.048072355
GOOGL,MTB,0.048367241
GOOGL,LNT,0.048454876
CSCO,EA,0.048605785
CSCO,FITB,0.04880818
GOOGL,HUM,0.049414567
LIN,WELL,0.049508434
