selected_stock,leg_stock,pvalue
ANSS,JCI,1.57e-13
AME,JCI,8.87e-12
IFF,JCI,1.65e-08
INTU,JCI,2.29e-08
ADI,JCI,1.22e-07
ANSS,LEN,4.11e-05
SNPS,WRB,5.69e-05
IFF,LH,6.22e-05
DHR,IFF,7.75e-05
IDXX,MCHP,9.17e-05
AME,LEN,9.77e-05
IRM,JCI,9.99e-05
WAT,WTW,0.00013145
ADI,RJF,0.000169405
DHR,PEP,0.000173988
DHR,IT,0.000290099
INTU,LH,0.000317346
HSIC,IPG,0.000364607
GPC,WELL,0.000398073
DHR,IPG,0.000400599
INTU,IT,0.000402726
MTD,XEL,0.000482968
DHR,LNT,0.000487726
ANSS,WTW,0.000498118
IFF,PGR,0.000498919
IDXX,SYY,0.000551425
IFF,MMM,0.000559392
HSIC,IFF,0.000563723
IFF,TRV,0.000580248
DHR,MDLZ,0.000613046
DHR,MTD,0.000620181
MTD,WEC,0.00066153
MTD,SNPS,0.000759961
ADI,MTD,0.000769621
IFF,IT,0.000815446
IFF,IPG,0.000816653
DHR,DTE,0.000828689
INTU,TDG,0.000891899
INTU,SWK,0.000903389
DHR,SPGI,0.000904489
IFF,WAT,0.000946946
IFF,PEP,0.000978205
RMD,WELL,0.000991702
ANSS,COF,0.000996973
DHR,FIS,0.001136312
MTD,PGR,0.001163465
ADI,SNPS,0.001166875
ANSS,KO,0.001167049
DHR,LH,0.001174817
HSIC,NEE,0.001217238
SNPS,TDG,0.001262494
PAYX,WST,0.001281135
AME,CBRE,0.001357587
DHR,WAT,0.001447694
HSIC,KMB,0.001453523
AME,COF,0.001506073
PAYX,TXN,0.001615316
GPN,VMC,0.001680486
ADI,BIO,0.001718493
DHR,PGR,0.001731314
ADI,DTE,0.001764055
ANSS,CBRE,0.001933497
ADI,GL,0.001948956
DHR,ES,0.001960314
PKI,WFC,0.001977983
NKE,STE,0.002042214
INTU,WEC,0.002111092
IFF,INTU,0.00213365
PAYX,XRAY,0.002149
ANSS,CCI,0.002223886
RMD,TRV,0.00229183
HSIC,SPGI,0.002343029
DHR,ICE,0.00235827
DHR,UPS,0.002393893
ANSS,EBAY,0.002402146
PAYX,TFX,0.002476339
ANSS,DUK,0.00250659
ANSS,WELL,0.002534902
GPN,TMUS,0.00262043
GPC,PG,0.002666292
LHX,SYK,0.00269171
MTD,ROL,0.002758445
PKI,SPGI,0.00278906
ANSS,CPT,0.00281342
NKE,TYL,0.002865198
IFF,MDLZ,0.002953324
INTU,LNT,0.003028131
ANSS,EL,0.003028791
IFF,LNT,0.003159954
DHR,JKHY,0.003250637
IFF,K,0.003283806
LHX,MLM,0.003379257
NKE,UHS,0.003421037
ANSS,CDNS,0.003466811
MCHP,PTC,0.003539776
ADI,CB,0.003554507
LHX,MSFT,0.003607378
ADI,IT,0.003638772
